носки,белый,короткие белые носки в полоску,0,40
носки,белый,белые носки "иди",0,40
носки,желтый,короткие желтые носки мем,0,40
носки,серый,короткие серые носки мем,0,40
носки,зеленый,короткие зеленые носки мем,0,40
носки,бежевый,шерстянные бежевые носки,-40,0
носки,белый,белые носки с зеленой полоской,-40,5
носки,белый,белые носки с желтой полоской,-40,5
носки,белый,белые носки с синей полоской,-40,5
носки,черный,шерстянные носки с верблюдом,-40,0
низ,черный,черные брючные шорты,18,40
низ,бежевый,бежевые шорты,18,40
низ,розовый,розовые шорты,20,40
низ,черный,спортивные шорты,20,40
верх,белый,футболка аниме,-40,40
верх,белый,футболка лягушка,-40,40
верх,белый,футболка змея,-40,40
верх,черный,черная тонкая футболка,-40,40
верх,серый,серая футболка оверсайз,-40,40
верх,черный,черный бадлон,-40,18
верх,бордовый,бордовая футболка оверсайз,-40,40
верх,белый,белая майка,5,40
верх,синий,синяя кофта,-40,18
верх,черный,черная майка,5,40
верх,фиолетовый,сиреневая майка,5,40
верх,розовый,футболка спанч боб,-40,40
верх,серый,темно-серая обычная футболка,-40,40
верх,бордовый,бордовая обычная футболка,-40,40
низ,синий,синие брюки в клетку,0,25
низ,черный,джинсы с дырками,15,20
низ,черный,узкие джинсы,10,20
верх,черный,черная плотная футболка,-40,40
верх,черный,черная футболка с V-вырезом,-40,40
поверх,серый,серый свитер,-40,20
поверх,зеленый,зеленый джемпер с ёлкой,-40,20
низ,серый,серые брюки,-15,25
низ,черный,черные треники,-40,15
поверх,белый,рубашка в бело-синюю полоску,18,40
поверх,черный,черная плотная рубашка,0,20
поверх,черный,черная короткая рубашка,18,40
поверх,серый,серый балахон,-40,20
поверх,черный,черный балахон,-40,20
поверх,белый,белый балахон,-40,20
носки,черный,черные носки с огнем,0,40
носки,синий,синие носки,0,40
носки,красный,красные носки с котом,0,40
носки,желтый,желтые носки с пикачу,0,40
носки,белый,белые носки с огнем,0,40
носки,зеленый,зеленые носки с сантой и пивом,0,40
носки,зеленый,зеленые носки с сантой,0,40
носки,желтый,короткие носки с солнцем и морем,0,40
носки,синий,короткие носки с пляжем,0,40
